Sentence,Sentiment,clean,stopped,lemma
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",neutral,affecto will provid a new efi data warehous and report solut behaviour score system support oper decis process and data migrat from old legaci system to the new efi system,affecto provid new efi data warehous report solut behaviour score system support oper decis process data migrat old legaci system new efi system,affecto provid new efi data warehous report solut behaviour score system support oper decis process data migrat old legaci system new efi system
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral,if you need malwar remov tool type the url of your vendor of choic directli into the browser bar and use link on their websit wrote trend micro s rik ferguson on monday,need malwar remov tool type url vendor choic directli browser bar use link websit wrote trend micro rik ferguson monday,need malwar remov tool type url vendor choic directli browser bar use link websit wrote trend micro rik ferguson monday
"However , the growth margin slowed down due to the financial crisis .",negative,howev the growth margin slow down due to the financi crisi,howev growth margin slow down due financi crisi,howev growth margin slow down due financi crisi
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,increas in the number of share is base on the option right which were grant to the manag of the compani under the stock option plan,increas number share base option right grant manag compani stock option plan,increas number share base option right grant manag compani stock option plan
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral,the share subscript period for c option will commenc on septemb and expir on march,share subscript period c option commenc septemb expir march,share subscript period c option commenc septemb expir march
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,the devic can also be use for theft protect and posit of vehicl boat and other asset,devic also use theft protect posit vehicl boat asset,devic also use theft protect posit vehicl boat asset
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steer inc share repres of the share capit and vote right,cohen steer inc share repres share capit vote right,cohen steer inc share repres share capit vote right
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",negative,fastjet slam easyjet founder stelio for go public is take legal advic over letter about contractu,fastjet slam easyjet founder stelio go public take legal advic letter contractu,fastjet slam easyjet founder stelio go public take legal advic letter contractu
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,positive,total oper revenu grew by year on year to,total oper revenu grew year year,total oper revenu grew year year
CompaniesActelion shares hit record on Shire takeover talk,positive,companiesactelion share hit record on shire takeov talk,companiesactelion share hit record shire takeov talk,companiesactelion share hit record shire takeov talk
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive,due to rapid expans the market share of tallink in term of passeng carriag through tallinna sadam port of tallinn total percent in novemb against percent in novemb,due rapid expans market share tallink term passeng carriag tallinna sadam port tallinn total percent novemb percent novemb,due rapid expans market share tallink term passeng carriag tallinna sadam port tallinn total percent novemb percent novemb
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",positive,base on strong custom interest and feedback use rpm mobil phone manufactur oper enterpris and develop forum can significantli increas their product and servic qualiti user experi and cost effici tulonen continu,base strong custom interest feedback use rpm mobil phone manufactur oper enterpris develop forum significantli increas product servic qualiti user experi cost effici tulonen continu,base strong custom interest feedback use rpm mobil phone manufactur oper enterpris develop forum significantli increas product servic qualiti user experi cost effici tulonen continu
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",neutral,cramo plc is a servic compani specialis in construct machineri and equip rental and rental relat servic as well as rental and sale of modular space,cramo plc servic compani specialis construct machineri equip rental rental relat servic well rental sale modular space,cramo company servic compani specialis construct machineri equip rental rental relat servic well rental sale modular space
